$ python3 -c "
import re

with open('.reasonix/reference/dme-api-reference.md', 'r', encoding='utf-8') as f:
    lines = f.readlines()

# Find all URI lines and their context
# We'll track the current section heading and find descriptions
results = []
current_section = ''
current_subsection = ''

for i, line in enumerate(lines):
    # Track section headings
    m = re.match(r'^(#{2,4})\s+(.+)$', line)
    if m:
        level = len(m.group(1))
        title = m.group(2).strip()
        if level == 2:
            current_section = title
            current_subsection = ''
        elif level == 3:
            current_subsection = title
        elif level == 4:
            current_subsection = title
    
    # Find URI lines
    m = re.match(r'.*\- \*\*URI\*\*:\s*(/.*)$', line)
    if m:
        uri = m.group(1).strip()
        # Find the '描述' (description) - it's usually in the lines above the URI
        # Scan backward from current line to find the most recent **描述** line
        desc = ''
        for j in range(i-1, max(0, i-20), -1):
            dm = re.match(r'\*\*描述\*\*\s*$', lines[j])
            if dm:
                # The description is the next non-empty line
                for k in range(j+1, min(j+5, len(lines))):
                    if lines[k].strip():
                        desc = lines[k].strip()
                        break
                break
        
        # Find the section heading - scan backward
        section_heading = ''
        for j in range(i-1, max(0, i-50), -1):
            hm = re.match(r'^(#{2,4})\s+(.+)$', lines[j])
            if hm:
                section_heading = hm.group(2).strip()
                break
        
        results.append((uri, section_heading, desc, i+1))

for uri, section, desc, line in results:
    print(f'L{line}: URI={uri} | Section={section} | Desc={desc}')
L1920: URI=/rest/storagemgmt/v1/storagepools/query | Section=查询存储设备存储池列表 | Desc=查询存储设备存储池列表。
L1999: URI=/rest/storagemgmt/v1/hyperscale-pools/query | Section=查询HyperScale存储池列表 | Desc=查询HyperScale存储池列表
L2077: URI=/rest/storagemgmt/v2/logic-ports/query | Section=逻辑端口 | Desc=查询存储设备的逻辑端口列表。
L2175: URI=/rest/storagemgmt/v1/logic-ports/{logic_port_id} | Section= | Desc=查询存储设备的逻辑端口详情。
L2261: URI=/rest/storagemgmt/v1/logic-ports | Section= | Desc=创建存储设备的逻辑端口。仅OceanStor A800系列存储支持。
L2318: URI=/rest/storagemgmt/v1/logic-ports/{logic_port_id} | Section= | Desc=修改存储设备的逻辑端口。仅OceanStor A800系列存储支持。
L2370: URI=/rest/storagemgmt/v1/logic-ports/delete | Section= | Desc=删除存储设备的逻辑端口。仅OceanStor A800系列存储支持。 >![](public_sys-resources/icon-notice.gif) **须知：** >该API可能会直接或间接影响现网业务运行，导致业务中断、关键数据丢失等，请谨慎操作。
L2405: URI=/rest/storagemgmt/v1/logic-ports/failback | Section= | Desc=回切存储设备的逻辑端口。仅OceanStor A800系列存储支持。
L2442: URI=/rest/storagemgmt/v1/bond-ports/query | Section=绑定端口 | Desc=查询指定存储设备的绑定端口列表信息。
L2499: URI=/rest/storagemgmt/v1/bond-ports/{bond_port_id}/eth-ports | Section= | Desc=查询指定绑定端口的成员列表信息。
L2563: URI=/rest/storagemgmt/v1/failover-groups/{failover_group_id}/bond-ports | Section= | Desc=查询漂移组下的绑定端口。
L2621: URI=/rest/storagemgmt/v1/failover-groups/{failover_group_id}/eth-ports | Section=以太端口 | Desc=查询漂移组下以太端口。
L2685: URI=/rest/storagemgmt/v1/storages/eth-ports/query | Section= | Desc=查询存储设备eth端口信息。
L2764: URI=/rest/storagemgmt/v1/frontend-ports/fc-ports/query | Section=FC端口 | Desc=批量查询存储FC端口。
L2824: URI=/rest/storagemgmt/v1/backend-ports/sas-ports/query | Section=SAS端口 | Desc=批量查询存储SAS端口。
L2880: URI=/rest/storagemgmt/v1/port-groups/query | Section=端口组 | Desc=批量查询端口组。
L2930: URI=/rest/storagemgmt/v1/port-groups/{port_group_id}/ports/query | Section= | Desc=批量查询指定端口组的端口。
L2986: URI=/rest/storagemgmt/v1/port-groups/ports/relations/query | Section= | Desc=批量查询端口组与端口关联关系。
L3032: URI=/rest/storagemgmt/v1/port-groups | Section= | Desc=创建端口组。
L3072: URI=/rest/storagemgmt/v1/failover-groups/query | Section=漂移组 | Desc=查询漂移组列表。
L3128: URI=/rest/vlanmgmt/v1/vlans/query | Section=VLAN | Desc=查询VLAN列表。
L3191: URI=/rest/vlanmgmt/v1/vlans | Section= | Desc=创建VLAN。
L3230: URI=/rest/vlanmgmt/v1/vlans/modify | Section= | Desc=修改VLAN。
L3274: URI=/rest/vlanmgmt/v1/vlans/delete | Section= | Desc=删除VLAN。
L3309: URI=/rest/storagemgmt/v1/failover-groups/{failover_group_id}/vlans | Section= | Desc=查询漂移组下的vlan。
L3363: URI=/rest/storagemgmt/v1/storages/ib-ports/query | Section=IB端口 | Desc=查询存储设备IB端口信息。
L3435: URI=/rest/storagemgmt/v1/failover-groups/{failover_group_id}/ib-ports | Section= | Desc=查询漂移组下IB端口。
L3498: URI=/rest/storagemgmt/v1/storages/{storage_id}/controllers | Section=查询指定存储设备的控制器信息 | Desc=查询指定存储设备的控制器信息。
L3556: URI=/rest/storagemgmt/v1/storages/{storage_id}/disks | Section=查询指定存储设备的硬盘列表 | Desc=批量查询指定存储设备的硬盘信息。
L3615: URI=/rest/storagemgmt/v1/diskpools/query | Section=批量查询分布式存储设备的硬盘池 | Desc=批量查询分布式存储设备的硬盘池。仅支持OceanStor Pacific和OceanStor A310存储。
L3670: URI=/rest/storagemgmt/v2/storages/{storage_id}/disk | Section=查询存储设备的硬盘信息列表 | Desc=查询存储设备的硬盘信息列表。
L3777: URI=/rest/diskanalysismgmt/v1/storages/sas-ssd-query | Section=获取SAS SSD信息 | Desc=获取SAS SSD信息。
L3870: URI=/rest/diskanalysismgmt/v1/storages/sas-hdd-query | Section=获取SAS HDD信息 | Desc=获取SAS HDD信息。
L3947: URI=/rest/diskanalysismgmt/v1/storages/sata-hdd-query | Section=获取SATA HDD信息 | Desc=获取SATA HDD信息。
L4016: URI=/rest/diskanalysismgmt/v1/storages/nvme-ssd-query | Section=获取NVMe SSD信息 | Desc=获取NVMe SSD信息。
L4104: URI=/rest/diskexporter/v1/disks/metrics | Section=查询硬盘指标数据 | Desc=__ 查询硬盘指标数据，该接口响应体兼容prometheus消息格式规范 __
L4139: URI=/rest/storagemgmt/v1/disk-pools/query | Section=批量查询硬盘域 | Desc=批量查询硬盘域。
L4197: URI=/rest/fileservice/v1/vstores | Section=创建租户 | Desc=创建租户。OceanStor Dorado v3设备不支持该功能。
L4239: URI=/rest/fileservice/v1/vstores/query | Section=批量查询存储设备租户信息 | Desc=批量查询存储设备租户信息。
L4352: URI=/rest/fileservice/v1/vstores/{id} | Section=查询租户详情 | Desc=查询租户详情。
L4424: URI=/rest/fileservice/v1/vstores/{id} | Section=修改指定租户 | Desc=修改指定租户，该操作会修改存储设备上指定的租户。
L4466: URI=/rest/fileservice/v1/vstores/delete | Section=批量删除租户 | Desc=批量删除租户，该操作会删除存储设备上指定的租户。 >![](public_sys-resources/icon-notice.gif) **须知：** >该API可能会直接或间接影响现网业务运行，导致业务中断、关键数据丢失等，请谨慎操作。
L4503: URI=/rest/storagemgmt/v1/enclosures/query | Section=批量查询存储设备的机框信息 | Desc=批量查询存储设备的机框信息。
L4585: URI=/rest/dpc-mgmt/v2/dpcs/register | Section=并行客户端注册 | Desc=并行客户端注册。
L4621: URI=/rest/dpc-mgmt/v2/dpcs/deregister | Section=并行客户端取消注册 | Desc=并行客户端取消注册。 >![](public_sys-resources/icon-notice.gif) **须知：** >该API可能会直接或间接影响现网业务运行，导致业务中断、关键数据丢失等，请谨慎操作。
L4654: URI=/rest/fileservice/v1/namespaces/dpc-auth-clients/add | Section=添加指定命名空间的DPC授权IP | Desc=添加命名空间DPC授权IP
L4698: URI=/rest/fileservice/v1/namespaces/dpc-auth-clients/delete | Section=删除指定命名空间的DPC授权IP | Desc=删除命名空间的DPC授权IP >![](public_sys-resources/icon-notice.gif) **须知：** >该API可能会直接或间接影响现网业务运行，导致业务中断、关键数据丢失等，请谨慎操作。
L4734: URI=/rest/dpc-mgmt/v1/dpcs/{id} | Section=查询DPC详情 | Desc=查询DPC详情。
L4799: URI=/rest/dpc-mgmt/v1/dpcs/query | Section=批量查询DPC列表 | Desc=批量查询DPC列表。
L4879: URI=/rest/dpc-mgmt/v1/dpcs/register | Section=DPC注册 | Desc=DPC注册。
L4915: URI=/rest/dpc-mgmt/v1/dpcs/unregister | Section=DPC取消注册 | Desc=DPC取消注册。 >![](public_sys-resources/icon-notice.gif) **须知：** >该API可能会直接或间接影响现网业务运行，导致业务中断、关键数据丢失等，请谨慎操作。
L4948: URI=/rest/fileservice/v1/namespaces/{namespace_id} | Section=查询指定命名空间详情 | Desc=查询指定命名空间详情。
L5100: URI=/rest/fileservice/v1/namespaces/{namespace_id}/dpc-auth-switch | Section=修改指定命名空间的DPC鉴权开关状态 | Desc=修改指定命名空间的DPC鉴权开关状态
L5141: URI=/rest/fcswitchmgmt/v1/fcswitches/list | Section=批量查询交换机 | Desc=批量查询交换机。
L5258: URI=/rest/fcswitchmgmt/v1/fcswitches/{id}/sync | Section=同步指定交换机 | Desc=同步指定交换机，从设备上获取交换机最新配置。
L5291: URI=/rest/fcswitchmgmt/v1/fcswitches/ports/query | Section=批量查询交换机端口 | Desc=批量查询交换机端口。
L5381: URI=/rest/switchmgmt/switchmgmtservice/v1/switchs/frames/query | Section=查询IP交换机机框列表信息 | Desc=查询IP交换机机框列表信息
L5448: URI=/rest/switchmgmt/switchmgmtservice/v1/switchs/boards/query | Section=查询IP交换机单板列表信息 | Desc=查询IP交换机单板列表信息
L5515: URI=/rest/switchmgmt/switchmgmtservice/v1/switchs/subcards/query | Section=查询IP交换机子卡列表信息 | Desc=查询IP交换机子卡列表信息
L5584: URI=/rest/switchmgmt/switchmgmtservice/v1/switchs/powers/query | Section=查询IP交换机电源列表信息 | Desc=查询IP交换机电源列表信息
L5655: URI=/rest/switchmgmt/switchmgmtservice/v1/switchs/fans/query | Section=查询IP交换机风扇列表信息 | Desc=查询IP交换机风扇列表信息
L5726: URI=/rest/switchmgmt/switchmgmtservice/v1/switchs/ports/query | Section=查询IP交换机端口列表信息 | Desc=查询IP交换机端口列表信息
L5799: URI=/rest/switchmgmt/v1/switchs/query | Section=查询以太网交换机列表信息 | Desc=支持按分页查询以太网交换机列表信息
L5898: URI=/rest/fcswitchmgmt/v1/fcswitches/{id}/ports/list | Section=查询指定交换机的端口列表 | Desc=查询指定交换机的端口列表。
L5979: URI=/rest/fcswitchmgmt/v1/fcswitches/controllers/query | Section=批量查询交换机控制处理器 | Desc=批量查询交换机控制处理器。
L6034: URI=/rest/fcswitchmgmt/v1/fabrics/list | Section=批量查询光纤网络 | Desc=批量查询光纤网络。
L6101: URI=/rest/fcswitchmgmt/v1/fabrics/{id}/ports/list | Section=查询指定光纤网络的端口列表 | Desc=查询指定光纤网络的端口列表。
L6173: URI=/rest/fcswitchmgmt/v1/fabrics/{id}/backup | Section=执行光纤网络配置文件备份 | Desc=执行光纤网络配置文件备份。
L6211: URI=/rest/fcswitchmgmt/v1/vsans/query | Section=查询VSAN列表 | Desc=查询思科交换机所有的VSAN。
L6289: URI=/rest/fcswitchmgmt/v1/zones/list | Section=批量查询zone | Desc=批量查询zone，支持按照zone名称、所属CFG名称模糊查询，根据zone状态多条件过滤，按照成员数量排序，支持分页查询。
L6350: URI=/rest/fcswitchmgmt/v1/zones/{zone_id}/wwn-members/list | Section=查询zone的WWN成员 | Desc=查询zone的WWN成员，支持按照成员WWN模糊查询。
L6396: URI=/rest/fcswitchmgmt/v1/zones/{zone_id}/port-members/list | Section=查询zone的端口成员 | Desc=查询zone的端口成员，支持按照域id、端口号、端口名称模糊查询。
L6448: URI=/rest/fcswitchmgmt/v1/zones/{zone_id}/alias-members/list | Section=查询zone的别名成员 | Desc=查询zone的别名成员，支持按照别名成员名称模糊查询，按照别名成员数量排序。
L6505: URI=/rest/fcswitchmgmt/v1/zones | Section=创建zone | Desc=创建zone，在光纤网络中创建一个zone实例，必须包含WWN成员、端口成员、别名成员中的一种。
L6560: URI=/rest/fcswitchmgmt/v1/zones/{zone_id} | Section=修改Zone | Desc=修改zone名称或变更成员。该操作会修改指定交换机上的zone名称或变更成员。
L6654: URI=/rest/fcswitchmgmt/v1/zones/{zone_id} | Section=删除zone | Desc=删除zone。该操作会删除指定交换机上的zone。 >![](public_sys-resources/icon-notice.gif) **须知：** >该API可能会直接或间接影响现网业务运行，导致业务中断、关键数据丢失等，请谨慎操作。
L6687: URI=/rest/fcswitchmgmt/v1/zones/show-create-commands | Section=查看创建Zone的操作命令 | Desc=查看创建Zone的操作命令。
L6743: URI=/rest/fcswitchmgmt/v1/zones/create-commands/show | Section=批量查看创建Zone的操作命令 | Desc=批量查看创建Zone的操作命令。
L6813: URI=/rest/fcswitchmgmt/v1/zones/batch-create | Section=批量创建zone | Desc=批量创建zone，在光纤网络中创建一个zone实例，必须包含WWN成员、端口成员、别名成员中的一种
L6874: URI=/rest/fcswitchmgmt/v1/aliases | Section=创建别名 | Desc=创建别名。该操作会在指定交换机上创建别名。
L6927: URI=/rest/fcswitchmgmt/v1/aliases/list | Section=批量查询别名 | Desc=批量查询别名。
L6982: URI=/rest/fcswitchmgmt/v1/aliases/{alias_id}/wwn-members/list | Section=查询别名的WWN成员 | Desc=查询别名的WWN成员。
L7028: URI=/rest/fcswitchmgmt/v1/aliases/{alias_id}/port-members/list | Section=查询别名的端口成员 | Desc=查询别名的端口成员。
L7080: URI=/rest/fcswitchmgmt/v1/aliases/{alias_id} | Section=修改别名 | Desc=变更别名成员。
L7166: URI=/rest/fcswitchmgmt/v1/aliases/{alias_id} | Section=删除别名 | Desc=删除别名。该操作会删除指定交换机上的别名。 >![](public_sys-resources/icon-notice.gif) **须知：** >该API可能会直接或间接影响现网业务运行，导致业务中断、关键数据丢失等，请谨慎操作。
L7201: URI=/rest/servermgmt/v1/fans/query | Section=查询服务器上的风扇 | Desc=查询服务器上的风扇
L7256: URI=/rest/servermgmt/v1/disks/query | Section=查询服务器上的硬盘集合 | Desc=查询服务器上的硬盘集合
L7309: URI=/rest/servermgmt/v1/pcies/query | Section=查询服务器上的PCIe卡信息 | Desc=查询服务器上的PCIe卡信息
L7368: URI=/rest/servermgmt/v1/powers/query | Section=查询服务器上的电源 | Desc=查询服务器上的电源
L7432: URI=/rest/servermgmt/v1/network-adapters/query | Section=查询服务器上的网卡集合 | Desc=查询服务器上的网卡集合
L7492: URI=/rest/servermgmt/v1/memories/query | Section=查询服务器上的内存 | Desc=查询服务器上的内存
L7553: URI=/rest/servermgmt/v1/raid-cards/query | Section=查询服务器上的RAID卡详情 | Desc=查询服务器上的RAID卡详情
L7637: URI=/rest/servermgmt/v1/servers/query | Section=查询服务器列表 | Desc=查询服务器列表
L7740: URI=/rest/servermgmt/v1/servers/{server_id}/summary | Section=查询指定服务器的概览信息 | Desc=查询指定服务器的概览信息
L7817: URI=/rest/servermgmt/v1/processors/query | Section=查询服务器上的所有处理器列表 | Desc=查询指定服务器上的所有处理器列表
L7885: URI=/rest/appmgmt/v1/cmdb-systems/query | Section=查询CMDB系统列表 | Desc=查询CMDB系统列表。
L7927: URI=/rest/appmgmt/v1/cmdb-hosts/query | Section=查询CMDB系统中的主机列表 | Desc=查询CMDB系统中的主机列表。
L8005: URI=/rest/appmgmt/v1/cmdb-hosts/{cmdb_host_id} | Section=查询指定CMDB主机详情 | Desc=根据主机的ID查询详情，包括主机的基本信息和启动器信息
L8080: URI=/rest/appmgmt/v1/applications/query | Section=查询CMDB系统中的应用列表 | Desc=查询CMDB系统中的应用列表。
L8140: URI=/rest/hostmgmt/v1/storage-hosts/query-by-cmdb-host | Section=根据CMDB主机查询关联的存储主机列表 | Desc=根据CMDB主机查询关联的存储主机列表。
L8210: URI=/rest/appmgmt/v1/cmdb-hosts/query-by-initiators | Section=根据启动器列表查询CMDB主机列表 | Desc=根据启动器列表查询CMDB主机列表。
L8294: URI=/rest/tagmgmt/v1/tag-types | Section=创建标签类型 | Desc=创建标签类型。
L8327: URI=/rest/tagmgmt/v1/tag-types/query | Section=批量查询标签类型 | Desc=批量查询标签类型，支持过滤、分页。
L8374: URI=/rest/tagmgmt/v1/tag-types/{id} | Section=修改标签类型 | Desc=修改标签类型。
L8409: URI=/rest/tagmgmt/v1/tag-types/delete | Section=批量删除标签类型 | Desc=批量删除标签类型。
L8444: URI=/rest/tagmgmt/v1/tags | Section=创建标签 | Desc=创建标签。
L8490: URI=/rest/tagmgmt/v1/tags/query | Section=批量查询标签 | Desc=批量查询标签，支持过滤、分页。
L8548: URI=/rest/tagmgmt/v1/tags/{id} | Section=修改标签 | Desc=修改标签。
L8583: URI=/rest/tagmgmt/v1/tags/delete | Section=批量删除标签 | Desc=批量删除标签。
L8616: URI=/rest/tagmgmt/v1/tags/{id}/associate-resources | Section=标签关联资源 | Desc=标签关联资源。
L8662: URI=/rest/tagmgmt/v1/tags/{id}/disassociate-resources | Section=标签取消关联资源 | Desc=标签取消关联资源。
L8710: URI=/rest/vmmgmt/v1/sites/query | Section=查询虚拟化站点列表 | Desc=查询虚拟化站点列表。
